"Tabela 9514 - População residente, por sexo, idade e forma de declaração da idade"
"Variável - População residente (Pessoas)"
"Cód.";"Município";"Forma de declaração da idade";"Ano x Sexo x Idade"
"Cód.";"Município";"Forma de declaração da idade";"2022"
"Cód.";"Município";"Forma de declaração da idade";"Homens"
"Cód.";"Município";"Forma de declaração da idade";"Total"
"2100055";"Açailândia (MA)";"Total";"52604"
"2100105";"Afonso Cunha (MA)";"Total";"3131"
"2100154";"Água Doce do Maranhão (MA)";"Total";"6210"
"2100204";"Alcântara (MA)";"Total";"9401"
"2100303";"Aldeias Altas (MA)";"Total";"11665"
"2100402";"Altamira do Maranhão (MA)";"Total";"3264"
"2100436";"Alto Alegre do Maranhão (MA)";"Total";"11850"
"2100477";"Alto Alegre do Pindaré (MA)";"Total";"12972"
"2100501";"Alto Parnaíba (MA)";"Total";"5750"
"2100550";"Amapá do Maranhão (MA)";"Total";"3655"
"2100600";"Amarante do Maranhão (MA)";"Total";"19092"
"2100709";"Anajatuba (MA)";"Total";"12877"
"2100808";"Anapurus (MA)";"Total";"6885"
"2100832";"Apicum-Açu (MA)";"Total";"9065"
"2100873";"Araguanã (MA)";"Total";"5627"
"2100907";"Araioses (MA)";"Total";"19996"
"2100956";"Arame (MA)";"Total";"13151"
"2101004";"Arari (MA)";"Total";"14603"
"2101103";"Axixá (MA)";"Total";"5869"
"2101202";"Bacabal (MA)";"Total";"49719"
"2101251";"Bacabeira (MA)";"Total";"8418"
"2101301";"Bacuri (MA)";"Total";"8289"
"2101350";"Bacurituba (MA)";"Total";"2708"
"2101400";"Balsas (MA)";"Total";"50266"
"2101509";"Barão de Grajaú (MA)";"Total";"9442"
"2101608";"Barra do Corda (MA)";"Total";"41821"
"2101707";"Barreirinhas (MA)";"Total";"33368"
"2101731";"Belágua (MA)";"Total";"4482"
"2101772";"Bela Vista do Maranhão (MA)";"Total";"5853"
"2101806";"Benedito Leite (MA)";"Total";"2810"
"2101905";"Bequimão (MA)";"Total";"9895"
"2101939";"Bernardo do Mearim (MA)";"Total";"2917"
"2101970";"Boa Vista do Gurupi (MA)";"Total";"3844"
"2102002";"Bom Jardim (MA)";"Total";"16676"
"2102036";"Bom Jesus das Selvas (MA)";"Total";"14743"
"2102077";"Bom Lugar (MA)";"Total";"6209"
"2102101";"Brejo (MA)";"Total";"17137"
"2102150";"Brejo de Areia (MA)";"Total";"4772"
"2102200";"Buriti (MA)";"Total";"15156"
"2102309";"Buriti Bravo (MA)";"Total";"11203"
"2102325";"Buriticupu (MA)";"Total";"27750"
"2102358";"Buritirana (MA)";"Total";"6550"
"2102374";"Cachoeira Grande (MA)";"Total";"5063"
