"Tabela 9514 - População residente, por sexo, idade e forma de declaração da idade"
"Variável - População residente (Pessoas)"
"Cód.";"Município";"Forma de declaração da idade";"Ano x Sexo x Idade"
"Cód.";"Município";"Forma de declaração da idade";"2022"
"Cód.";"Município";"Forma de declaração da idade";"Mulheres"
"Cód.";"Município";"Forma de declaração da idade";"Total"
"2100055";"Açailândia (MA)";"Total";"53946"
"2100105";"Afonso Cunha (MA)";"Total";"3013"
"2100154";"Água Doce do Maranhão (MA)";"Total";"5932"
"2100204";"Alcântara (MA)";"Total";"9066"
"2100303";"Aldeias Altas (MA)";"Total";"11621"
"2100402";"Altamira do Maranhão (MA)";"Total";"3183"
"2100436";"Alto Alegre do Maranhão (MA)";"Total";"12198"
"2100477";"Alto Alegre do Pindaré (MA)";"Total";"12738"
"2100501";"Alto Parnaíba (MA)";"Total";"5359"
"2100550";"Amapá do Maranhão (MA)";"Total";"3515"
"2100600";"Amarante do Maranhão (MA)";"Total";"17993"
"2100709";"Anajatuba (MA)";"Total";"12445"
"2100808";"Anapurus (MA)";"Total";"6908"
"2100832";"Apicum-Açu (MA)";"Total";"8454"
"2100873";"Araguanã (MA)";"Total";"5554"
"2100907";"Araioses (MA)";"Total";"19056"
"2100956";"Arame (MA)";"Total";"12366"
"2101004";"Arari (MA)";"Total";"14869"
"2101103";"Axixá (MA)";"Total";"5921"
"2101202";"Bacabal (MA)";"Total";"53992"
"2101251";"Bacabeira (MA)";"Total";"8548"
"2101301";"Bacuri (MA)";"Total";"8001"
"2101350";"Bacurituba (MA)";"Total";"2544"
"2101400";"Balsas (MA)";"Total";"51501"
"2101509";"Barão de Grajaú (MA)";"Total";"9542"
"2101608";"Barra do Corda (MA)";"Total";"42711"
"2101707";"Barreirinhas (MA)";"Total";"32221"
"2101731";"Belágua (MA)";"Total";"3978"
"2101772";"Bela Vista do Maranhão (MA)";"Total";"5897"
"2101806";"Benedito Leite (MA)";"Total";"2659"
"2101905";"Bequimão (MA)";"Total";"9689"
"2101939";"Bernardo do Mearim (MA)";"Total";"2923"
"2101970";"Boa Vista do Gurupi (MA)";"Total";"3730"
"2102002";"Bom Jardim (MA)";"Total";"16424"
"2102036";"Bom Jesus das Selvas (MA)";"Total";"13856"
"2102077";"Bom Lugar (MA)";"Total";"6003"
"2102101";"Brejo (MA)";"Total";"16983"
"2102150";"Brejo de Areia (MA)";"Total";"4446"
"2102200";"Buriti (MA)";"Total";"14529"
"2102309";"Buriti Bravo (MA)";"Total";"11252"
"2102325";"Buriticupu (MA)";"Total";"27749"
"2102358";"Buritirana (MA)";"Total";"6368"
"2102374";"Cachoeira Grande (MA)";"Total";"4669"
"2102408";"Cajapió (MA)";"Total";"5012"
"2102507";"Cajari (MA)";"Total";"8078"
"2102556";"Campestre do Maranhão (MA)";"Total";"6083"
"2102606";"Cândido Mendes (MA)";"Total";"9682"
"2102705";"Cantanhede (MA)";"Total";"12148"
"2102754";"Capinzal do Norte (MA)";"Total";"5760"
"2102804";"Carolina (MA)";"Total";"11816"
"2102903";"Carutapera (MA)";"Total";"11882"
"2103000";"Caxias (MA)";"Total";"81584"
"2103109";"Cedral (MA)";"Total";"4984"
"2103125";"Central do Maranhão (MA)";"Total";"3420"
"2103158";"Centro do Guilherme (MA)";"Total";"6015"
"2103174";"Centro Novo do Maranhão (MA)";"Total";"7782"
"2103208";"Chapadinha (MA)";"Total";"41420"
"2103257";"Cidelândia (MA)";"Total";"6321"
"2103307";"Codó (MA)";"Total";"58989"
"2103406";"Coelho Neto (MA)";"Total";"21120"
"2103505";"Colinas (MA)";"Total";"20642"
"2103554";"Conceição do Lago-Açu (MA)";"Total";"7223"
"2103604";"Coroatá (MA)";"Total";"30198"
"2103703";"Cururupu (MA)";"Total";"15601"
"2103752";"Davinópolis (MA)";"Total";"7138"
