"Tabela 9923 - População residente, por situação do domicílio"
"Variável - População residente (Pessoas)"
"Cód.";"Unidade da Federação e Município";"Ano x Situação do domicílio"
"Cód.";"Unidade da Federação e Município";"2022"
"Cód.";"Unidade da Federação e Município";"Rural"
"21";"Maranhão";"1969709"
"2100055";"Açailândia (MA)";"11970"
"2100105";"Afonso Cunha (MA)";"3109"
"2100154";"Água Doce do Maranhão (MA)";"9136"
"2100204";"Alcântara (MA)";"13480"
"2100303";"Aldeias Altas (MA)";"7570"
"2100402";"Altamira do Maranhão (MA)";"3481"
"2100436";"Alto Alegre do Maranhão (MA)";"4698"
"2100477";"Alto Alegre do Pindaré (MA)";"11631"
"2100501";"Alto Parnaíba (MA)";"2747"
"2100550";"Amapá do Maranhão (MA)";"1740"
"2100600";"Amarante do Maranhão (MA)";"21283"
"2100709";"Anajatuba (MA)";"17037"
"2100808";"Anapurus (MA)";"6077"
"2100832";"Apicum-Açu (MA)";"5926"
"2100873";"Araguanã (MA)";"6059"
"2100907";"Araioses (MA)";"27865"
"2100956";"Arame (MA)";"14960"
"2101004";"Arari (MA)";"11978"
"2101103";"Axixá (MA)";"6920"
"2101202";"Bacabal (MA)";"20680"
"2101251";"Bacabeira (MA)";"5151"
"2101301";"Bacuri (MA)";"7946"
"2101350";"Bacurituba (MA)";"3815"
"2101400";"Balsas (MA)";"12265"
"2101509";"Barão de Grajaú (MA)";"6488"
"2101608";"Barra do Corda (MA)";"26264"
"2101707";"Barreirinhas (MA)";"36878"
"2101731";"Belágua (MA)";"4012"
"2101772";"Bela Vista do Maranhão (MA)";"4722"
"2101806";"Benedito Leite (MA)";"2092"
"2101905";"Bequimão (MA)";"13579"
"2101939";"Bernardo do Mearim (MA)";"3257"
"2101970";"Boa Vista do Gurupi (MA)";"1426"
"2102002";"Bom Jardim (MA)";"16853"
"2102036";"Bom Jesus das Selvas (MA)";"10506"
"2102077";"Bom Lugar (MA)";"8336"
"2102101";"Brejo (MA)";"18128"
"2102150";"Brejo de Areia (MA)";"6228"
"2102200";"Buriti (MA)";"19795"
"2102309";"Buriti Bravo (MA)";"5415"
"2102325";"Buriticupu (MA)";"15576"
"2102358";"Buritirana (MA)";"8929"
"2102374";"Cachoeira Grande (MA)";"5393"
"2102408";"Cajapió (MA)";"6499"
"2102507";"Cajari (MA)";"12681"
"2102556";"Campestre do Maranhão (MA)";"2539"
"2102606";"Cândido Mendes (MA)";"6465"
"2102705";"Cantanhede (MA)";"7780"
"2102754";"Capinzal do Norte (MA)";"5387"
"2102804";"Carolina (MA)";"7350"
"2102903";"Carutapera (MA)";"6363"
"2103000";"Caxias (MA)";"35698"
"2103109";"Cedral (MA)";"7786"
"2103125";"Central do Maranhão (MA)";"2982"
"2103158";"Centro do Guilherme (MA)";"5200"
"2103174";"Centro Novo do Maranhão (MA)";"8902"
"2103208";"Chapadinha (MA)";"20013"
"2103257";"Cidelândia (MA)";"5815"
"2103307";"Codó (MA)";"31072"
"2103406";"Coelho Neto (MA)";"7164"
