"Tabela 4709 - População residente, Variação absoluta de população residente e Taxa de crescimento geométrico"
"Variável - População residente (Pessoas)"
"Município";"Ano"
"Município";"2022"
"Açailândia (MA)";"106550"
"Afonso Cunha (MA)";"6144"
"Água Doce do Maranhão (MA)";"12142"
"Alcântara (MA)";"18467"
"Aldeias Altas (MA)";"23286"
"Altamira do Maranhão (MA)";"6447"
"Alto Alegre do Maranhão (MA)";"24048"
"Alto Alegre do Pindaré (MA)";"25710"
"Alto Parnaíba (MA)";"11109"
"Amapá do Maranhão (MA)";"7170"
"Amarante do Maranhão (MA)";"37085"
"Anajatuba (MA)";"25322"
"Anapurus (MA)";"13793"
"Apicum-Açu (MA)";"17519"
"Araguanã (MA)";"11181"
"Araioses (MA)";"39052"
"Arame (MA)";"25517"
"Arari (MA)";"29472"
"Axixá (MA)";"11790"
"Bacabal (MA)";"103711"
"Bacabeira (MA)";"16966"
"Bacuri (MA)";"16290"
"Bacurituba (MA)";"5252"
"Balsas (MA)";"101767"
"Barão de Grajaú (MA)";"18984"
"Barra do Corda (MA)";"84532"
"Barreirinhas (MA)";"65589"
"Belágua (MA)";"8460"
"Bela Vista do Maranhão (MA)";"11750"
"Benedito Leite (MA)";"5469"
"Bequimão (MA)";"19584"
"Bernardo do Mearim (MA)";"5840"
"Boa Vista do Gurupi (MA)";"7574"
"Bom Jardim (MA)";"33100"
"Bom Jesus das Selvas (MA)";"28599"
"Bom Lugar (MA)";"12212"
"Brejo (MA)";"34120"
"Brejo de Areia (MA)";"9218"
"Buriti (MA)";"29685"
"Buriti Bravo (MA)";"22455"
"Buriticupu (MA)";"55499"
"Buritirana (MA)";"12918"
"Cachoeira Grande (MA)";"9732"
"Cajapió (MA)";"10121"
"Cajari (MA)";"16412"
"Campestre do Maranhão (MA)";"12301"
"Cândido Mendes (MA)";"19932"
"Cantanhede (MA)";"24303"
"Capinzal do Norte (MA)";"11374"
"Carolina (MA)";"24062"
"Carutapera (MA)";"24238"
"Caxias (MA)";"156973"
"Cedral (MA)";"10208"
"Central do Maranhão (MA)";"7094"
"Centro do Guilherme (MA)";"12342"
"Centro Novo do Maranhão (MA)";"16267"
"Chapadinha (MA)";"81386"
"Cidelândia (MA)";"12878"
"Codó (MA)";"114275"
"Coelho Neto (MA)";"41658"
"Colinas (MA)";"40316"
"Conceição do Lago-Açu (MA)";"14915"
"Coroatá (MA)";"59566"
"Cururupu (MA)";"31558"
"Davinópolis (MA)";"14404"
"Dom Pedro (MA)";"23053"
"Duque Bacelar (MA)";"10223"
"Esperantinópolis (MA)";"18311"
"Estreito (MA)";"33294"
"Feira Nova do Maranhão (MA)";"8048"
"Fernando Falcão (MA)";"10873"
"Formosa da Serra Negra (MA)";"17719"
"Fortaleza dos Nogueiras (MA)";"12640"
"Fortuna (MA)";"16976"
"Godofredo Viana (MA)";"10186"
"Gonçalves Dias (MA)";"17206"
"Governador Archer (MA)";"10231"
"Governador Edison Lobão (MA)";"18411"
"Governador Eugênio Barros (MA)";"13930"
"Governador Luiz Rocha (MA)";"7063"
"Governador Newton Bello (MA)";"10713"
"Governador Nunes Freire (MA)";"23128"
"Graça Aranha (MA)";"6023"
"Grajaú (MA)";"73872"
"Guimarães (MA)";"10290"
"Humberto de Campos (MA)";"25680"
"Icatu (MA)";"24794"
"Igarapé do Meio (MA)";"13974"
"Igarapé Grande (MA)";"10231"
"Imperatriz (MA)";"273110"
"Itaipava do Grajaú (MA)";"13828"
"Itapecuru Mirim (MA)";"60440"
"Itinga do Maranhão (MA)";"22513"
"Jatobá (MA)";"7471"
"Jenipapo dos Vieiras (MA)";"17076"
"João Lisboa (MA)";"24709"
"Joselândia (MA)";"14924"
"Junco do Maranhão (MA)";"5146"
"Lago da Pedra (MA)";"44403"
"Lago do Junco (MA)";"9506"
"Lago Verde (MA)";"14769"
"Lagoa do Mato (MA)";"10572"
"Lago dos Rodrigues (MA)";"8758"
"Lagoa Grande do Maranhão (MA)";"11411"
"Lajeado Novo (MA)";"7057"
"Lima Campos (MA)";"11297"
"Loreto (MA)";"11597"
"Luís Domingues (MA)";"7161"
"Magalhães de Almeida (MA)";"13807"
"Maracaçumé (MA)";"21149"
"Marajá do Sena (MA)";"7027"
"Maranhãozinho (MA)";"13761"
"Mata Roma (MA)";"17090"
"Matinha (MA)";"22034"
"Matões (MA)";"32174"
"Matões do Norte (MA)";"17432"
"Milagres do Maranhão (MA)";"8818"
"Mirador (MA)";"21030"
"Miranda do Norte (MA)";"23864"
"Mirinzal (MA)";"13978"
"Monção (MA)";"27751"
"Montes Altos (MA)";"9106"
"Morros (MA)";"18554"
"Nina Rodrigues (MA)";"14176"
"Nova Colinas (MA)";"5021"
"Nova Iorque (MA)";"4320"
"Nova Olinda do Maranhão (MA)";"14314"
"Olho d'Água das Cunhãs (MA)";"17919"
"Olinda Nova do Maranhão (MA)";"13577"
"Paço do Lumiar (MA)";"145643"
"Palmeirândia (MA)";"21059"
"Paraibano (MA)";"18274"
"Parnarama (MA)";"31250"
"Passagem Franca (MA)";"17220"
"Pastos Bons (MA)";"18802"
"Paulino Neves (MA)";"17056"
"Paulo Ramos (MA)";"20341"
"Pedreiras (MA)";"37050"
"Pedro do Rosário (MA)";"24320"
"Penalva (MA)";"32511"
"Peri Mirim (MA)";"11108"
"Peritoró (MA)";"20479"
"Pindaré-Mirim (MA)";"31429"
"Pinheiro (MA)";"84621"
"Pio XII (MA)";"21886"
"Pirapemas (MA)";"17714"
"Poção de Pedras (MA)";"17161"
"Porto Franco (MA)";"23903"
"Porto Rico do Maranhão (MA)";"5954"
"Presidente Dutra (MA)";"45155"
"Presidente Juscelino (MA)";"11356"
"Presidente Médici (MA)";"4696"
"Presidente Sarney (MA)";"17511"
"Presidente Vargas (MA)";"10549"
"Primeira Cruz (MA)";"13614"
"Raposa (MA)";"30839"
"Riachão (MA)";"22145"
"Ribamar Fiquene (MA)";"7420"
"Rosário (MA)";"38475"
"Sambaíba (MA)";"5568"
"Santa Filomena do Maranhão (MA)";"6697"
